Czas podrozy, Zarobek, Stworzony w generacji
2249121.257467779, 268099, 0
2307935.386316895, 276194, 0
2280745.9145402582, 261675, 0
2286600.3164093522, 268118, 0
2186783.5951207587, 264905, 0
2185000.149562592, 260750, 0
2273992.4876135034, 268946, 0
2250355.0999956466, 268732, 0
2255323.567983392, 260926, 0
2249067.232789694, 271212, 0
Czas podrozy, Zarobek, Stworzony w generacji
2236972.210121279, 267480, 1
2294426.2059510048, 276194, 1
2261546.8129661265, 261675, 1
2271631.941163617, 268118, 1
2176250.295485837, 267245, 1
2171953.9699389907, 260750, 1
2257969.440997753, 268946, 1
2235389.661279124, 265975, 1
2245346.457921761, 260926, 1
2243178.515131278, 271721, 1
Czas podrozy, Zarobek, Stworzony w generacji
2227698.4653749336, 267480, 2
2282129.1312228353, 274943, 2
2238576.606208867, 261675, 2
2265965.3078967147, 268118, 2
2128544.2658294346, 264112, 2
2159561.5957165025, 260750, 2
2249083.680127511, 269900, 2
2229844.3420161125, 265975, 2
2227716.5645110067, 260504, 2
2228495.3446751838, 273456, 2
Czas podrozy, Zarobek, Stworzony w generacji
2216509.598150163, 267480, 3
2272010.861484708, 274943, 3
2199691.810634242, 259403, 3
2256393.0305449353, 268118, 3
2116660.5497200424, 264112, 3
2130686.0556213213, 260111, 3
2240200.32921, 269900, 3
2154975.91160585, 261467, 3
2216508.2078707125, 260504, 3
2200252.727715566, 271421, 3
Czas podrozy, Zarobek, Stworzony w generacji
2210408.5148387877, 267480, 4
2262047.168678706, 274943, 4
2189642.658151707, 259403, 4
2243484.290678154, 268118, 4
2103882.881126171, 265699, 4
2120752.853675841, 260111, 4
2200902.842381973, 265662, 4
2125296.582680424, 261467, 4
2180601.61444427, 259088, 4
2191409.7625476653, 271421, 4
Czas podrozy, Zarobek, Stworzony w generacji
2204775.4934062776, 267480, 5
2252725.1121343495, 274943, 5
2172144.5745350183, 259574, 5
2234591.836428071, 268118, 5
2096396.900816564, 265699, 5
2110804.1061432357, 260111, 5
2194425.00472108, 265662, 5
2116990.0750646926, 260714, 5
2174439.458086302, 259088, 5
2185556.2362762783, 271421, 5
Czas podrozy, Zarobek, Stworzony w generacji
2193099.264983102, 269324, 6
2230169.520075626, 277988, 6
2151609.5375514184, 259574, 6
2214365.455913578, 268118, 6
2091220.6555426633, 265699, 6
2098792.082969661, 260111, 6
2168097.4975450328, 263516, 6
2106483.1053226907, 260714, 6
2166602.2457918413, 259088, 6
2179490.8154866053, 271421, 6
Czas podrozy, Zarobek, Stworzony w generacji
2186251.6677102596, 269324, 7
2220798.683622028, 277988, 7
2133938.627881787, 258935, 7
2206556.0761493645, 267735, 7
2072378.1739659905, 265699, 7
2091452.553505746, 260111, 7
2160899.223220456, 263516, 7
2090860.5279008897, 260714, 7
2154777.71370862, 259088, 7
2161606.6958301333, 271421, 7
Czas podrozy, Zarobek, Stworzony w generacji
2167577.1425989033, 269324, 8
2201309.6717862803, 275780, 8
2125676.491084486, 259781, 8
2202377.3009244935, 267735, 8
2063169.0073389083, 267733, 8
2088245.032152389, 260111, 8
2152428.162557178, 263800, 8
2080335.8472946214, 260714, 8
2140900.0654939185, 259088, 8
2157113.4545973493, 271421, 8
Czas podrozy, Zarobek, Stworzony w generacji
2153529.9721970693, 269355, 9
2190201.890030045, 275780, 9
2115558.877172267, 259483, 9
2167470.870490609, 265536, 9
2055745.0935411246, 267733, 9
2080122.2302420542, 260111, 9
2148582.3118896037, 263800, 9
2069328.3098282176, 260714, 9
2129234.8877018895, 259088, 9
2146858.335784954, 271421, 9
Czas podrozy, Zarobek, Stworzony w generacji
2150239.837853545, 269355, 10
2179860.259834424, 275512, 10
2106541.5819174387, 259483, 10
2156553.692021301, 267424, 10
2038529.3218611856, 266966, 10
2064629.956312232, 260111, 10
2131888.8716173065, 264148, 10
2064222.535758276, 260714, 10
2119237.0671637333, 259088, 10
2140885.661519221, 271421, 10
Czas podrozy, Zarobek, Stworzony w generacji
2133587.6224074634, 269355, 11
2168903.4288731213, 277841, 11
2096748.3076675835, 259483, 11
2122811.686671902, 264402, 11
2024977.2669499374, 266434, 11
2046682.136715193, 258032, 11
2100390.135147521, 261374, 11
2053008.9229667808, 260714, 11
2106589.848114845, 259088, 11
2128699.903385006, 271421, 11
Czas podrozy, Zarobek, Stworzony w generacji
2084896.462161449, 266838, 12
2160457.5980862645, 277841, 12
