Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, Zarobek, Czas podrozy, Z populacji, 
255825, 2185451.5359535203, 0, 268543, 2197676.708291898, 0, 268514, 2269697.893857431, 0, 274845, 2320126.726679921, 0, 259587, 2122646.5174572696, 0, 263664, 2170659.130582041, 0, 263101, 2255844.7563948077, 0, 264365, 2222144.780520863, 0, 260950, 2227688.9671054105, 0, 261455, 2210928.2398945782, 0, 
255825, 2173898.0324454657, 1, 268750, 2189402.412648005, 1, 270078, 2263796.192860618, 1, 274821, 2308244.198560483, 1, 259587, 2112277.403336504, 1, 263990, 2153034.2954549855, 1, 263297, 2247541.951672351, 1, 263897, 2206667.273169302, 1, 259820, 2189215.9446175327, 1, 261455, 2197246.107302667, 1, 
255825, 2167210.310288886, 2, 267938, 2162882.026481928, 2, 269708, 2249747.6392374258, 2, 274821, 2299022.316015301, 2, 259587, 2094868.5196824947, 2, 263990, 2148103.053421079, 2, 263297, 2238812.315973895, 2, 262629, 2180662.23929494, 2, 259820, 2181644.317497918, 2, 259683, 2166345.912098548, 2, 
257052, 2150755.022038205, 3, 270467, 2148881.7531001, 3, 265350, 2169722.016154063, 3, 275433, 2287294.9256214234, 3, 259587, 2083116.5169713052, 3, 265109, 2141880.0332557475, 3, 262101, 2216094.3949764557, 3, 262807, 2171761.324036223, 3, 259820, 2175886.318573148, 3, 259683, 2154215.0643678373, 3, 
257052, 2138269.591773364, 4, 268411, 2123975.8326796037, 4, 265350, 2158720.528251729, 4, 276668, 2280865.5458659064, 4, 259587, 2075641.2483519146, 4, 265168, 2138528.810259503, 4, 265380, 2207189.613870142, 4, 266110, 2163987.6967385598, 4, 259859, 2166744.52742198, 4, 260218, 2135884.6422249405, 4, 
257052, 2129683.965919392, 5, 268897, 2122072.0745316367, 5, 265350, 2147363.132567424, 5, 276668, 2271817.9799555307, 5, 259587, 2071913.868374252, 5, 267135, 2125003.285070685, 5, 266475, 2195017.14430436, 5, 266110, 2152926.244550681, 5, 259859, 2158380.7358930395, 5, 260218, 2130710.1862483276, 5, 
255159, 2109692.1694530686, 6, 268897, 2116315.1203133003, 6, 265350, 2139886.9120599176, 6, 276668, 2258821.865072026, 6, 259874, 2064991.3801880793, 6, 267135, 2115222.370056115, 6, 267636, 2183741.6398886526, 6, 266110, 2139003.135108181, 6, 259859, 2146862.9544888157, 6, 260218, 2118956.9748263457, 6, 
255159, 2101394.832001076, 7, 265652, 2063780.8916824854, 7, 265350, 2133018.992126272, 7, 276668, 2245755.9363499517, 7, 259874, 2058872.592945528, 7, 268016, 2115798.4332033657, 7, 266751, 2169477.295519427, 7, 266110, 2131913.451854706, 7, 259136, 2122614.274129828, 7, 260218, 2104225.429510524, 7, 
255159, 2092243.4130865126, 8, 266238, 2062992.5055455933, 8, 265350, 2125822.6423746035, 8, 276668, 2226764.164777508, 8, 259874, 2049206.237577892, 8, 268016, 2098517.147542643, 8, 267636, 2166395.043217931, 8, 266110, 2114948.582545329, 8, 259136, 2111314.9076522854, 8, 260218, 2092159.7708269916, 8, 
255159, 2076861.6176816267, 9, 266238, 2050310.6303194505, 9, 265350, 2116538.0293671503, 9, 276668, 2216887.0283849146, 9, 259874, 2045504.2749656688, 9, 268016, 2091438.894028853, 9, 267636, 2163647.6233944204, 9, 266110, 2106595.533267971, 9, 259136, 2097932.3789709024, 9, 253524, 2010990.0441432826, 9, 
255159, 2061630.6534625236, 10, 266238, 2041696.3818824096, 10, 265350, 2107544.5178024904, 10, 276668, 2204360.0515374904, 10, 259874, 2036269.3313242043, 10, 268016, 2079956.2636662438, 10, 267636, 2159257.1050661923, 10, 266110, 2096422.0840389975, 10, 258721, 2073612.6423543938, 10, 255109, 2011921.9009669577, 10, 
255159, 2055572.9671040117, 11, 266238, 2030893.1534485524, 11, 266766, 2095046.979512748, 11, 276668, 2191396.8254623106, 11, 260224, 2027546.4541623825, 11, 268016, 2073405.9788907734, 11, 267636, 2151127.3062883643, 11, 266110, 2093690.6259269689, 11, 258721, 2068827.6093913587, 11, 255661, 2001041.4882804998, 11, 
255159, 2049307.7135342504, 12, 266238, 2027343.4789730147, 12, 266626, 2081569.9407111914, 12, 276668, 2179211.8693892984, 12, 256987, 1988572.6494069663, 12, 268016, 2067790.4738470013, 12, 268769, 2138170.8914083582, 12, 266110, 2077802.912064307, 12, 258721, 2050035.3959232792, 12, 251858, 1971979.2572469134, 12, 
255159, 2043735.6470029694, 13, 263453, 1996476.1528616445, 13, 266626, 2072638.5700581968, 13, 277865, 2177507.8160112193, 13, 256987, 1979821.0562074634, 13, 268016, 2054073.019845371, 13, 268769, 2127895.3600345496, 13, 266110, 2063948.1780743857, 13, 258863, 2041388.6175548322, 13, 252367, 1968945.7875895014, 13, 
