4380000. 4390.0, 4380. 2.17E-321
4456505.597102903, 20, 3.145283521E9
4380000. 4390.0, 4380. 2.17E-321
4458968.086970556, 17, 3.764045729E9

First population front
Czas podrozy, Zarobek, Stworzony w generacji
48508.64594026487, 1052261, 1
48618.61642320086, 1058563, 1
49604.204352548884, 1064133, 0
50406.763023734486, 1065381, 1
50496.876032928, 1065725, 0
51069.06469852071, 1069874, 0
51141.82826283634, 1071004, 1
51457.874332406434, 1071749, 1
51466.02732034404, 1072661, 1
52434.71734724922, 1073594, 1
52752.68742125805, 1074175, 1
52786.036624268374, 1074439, 1
53013.86046445625, 1075743, 1
53371.48643821461, 1076395, 1
53432.56367079285, 1076834, 1
54413.07975565102, 1076990, 1
54501.00485063361, 1078803, 0

Middle population front

Last population front
Czas podrozy, Zarobek, Stworzony w generacji
45569.82572219413, 1050244, 59
46095.16747016715, 1054348, 119
46514.98211049734, 1055296, 136
46649.00212068514, 1056631, 162
46662.79459589018, 1059695, 78
46938.45406382918, 1062802, 100
47749.8481797062, 1063811, 84
47780.382138009176, 1066480, 144
48140.11440596901, 1068450, 163
48491.371204067706, 1070475, 183
49268.88659947071, 1072490, 102
49368.06847927329, 1073379, 102
49517.03320182109, 1073601, 160
49590.02663373433, 1073730, 178
49704.87896497304, 1074233, 193
49748.60338190905, 1074553, 89
49768.04034160082, 1075682, 118
49824.40068243538, 1076016, 90
50306.36789305017, 1077927, 90
50330.94945387688, 1078157, 64
50763.99422740671, 1079148, 174
50875.60698508043, 1079863, 189
51086.83766634245, 1080108, 95
51291.835144366174, 1080124, 67
51394.48373827988, 1080365, 170
51415.30001870669, 1081189, 150
51865.948907820006, 1081589, 62
51995.395108120145, 1081882, 59
52307.22046203394, 1082002, 136
52453.63405446371, 1083355, 134
52517.361599037125, 1083759, 22
52655.50230136745, 1084684, 75
53064.522762132, 1085408, 141
53135.70682412422, 1085694, 159
53530.43351724068, 1085780, 153
53569.261774592735, 1087853, 72
53884.94867061695, 1088073, 188
54484.04110656323, 1088461, 59
55759.76723529411, 1088740, 53
56025.43301193966, 1089937, 151

